,name,id,minsPlayed
190,Hassan Whiteside,202355,1678
191,Haywood Highsmith,1629312,40
192,Henry Ellenson,1627740,259
193,Ian Clark,203546,974
194,Ian Mahinmi,101133,496
195,Ike Anigbogu,1628387,6
196,Iman Shumpert,202697,1480
197,Isaac Bonga,1629067,119
198,Isaac Humphries,1629353,56
199,Isaiah Briscoe,1628515,558
200,Isaiah Canaan,203477,630
201,Isaiah Hartenstein,1628392,224
202,Isaiah Hicks,1628439,33
203,Isaiah Thomas,202738,181
204,Ish Smith,202397,1252
205,Ivan Rabb,1628397,723
206,Ivica Zubac,1627826,1041
207,J.J. Barea,200826,752
208,J.P. Macura,1629122,17
209,JJ Redick,200755,2381
210,JR Smith,2747,221
211,JaKarr Sampson,203960,127
212,JaMychal Green,203210,1369
213,JaVale McGee,201580,1674
214,Jabari Parker,203953,1725
215,Jacob Evans,1628980,200
216,Jae Crowder,203109,2168
217,Jahlil Okafor,1626143,938
218,Jake Layman,1627774,1323
219,Jakob Poeltl,1627751,1277
220,Jalen Brunson,1628973,1594
221,Jalen Jones,1627883,215
222,Jamal Crawford,2037,1210
223,Jamal Murray,1627750,2449
224,James Ennis III,203516,1229
225,James Harden,201935,2870
226,James Johnson,201949,1165
227,James Nunnally,203263,102
228,Jared Dudley,201162,1219
229,Jared Terrell,1629123,112
230,Jarell Martin,1626185,331
231,Jaren Jackson Jr.,1628991,1516
232,Jaron Blossomgame,1628417,441
233,Jarred Vanderbilt,1629020,69
234,Jarrett Allen,1628386,2095
235,Jason Smith,201160,189
236,Jawun Evans,1628393,64
237,Jaylen Adams,1629121,425
238,Jaylen Brown,1627759,1912
239,Jaylen Morris,1628537,28
240,Jayson Tatum,1628369,2452
241,Jeff Green,201145,2094
242,Jeff Teague,201952,1264
243,Jemerrio Jones,1629203,142
244,Jerami Grant,203924,2611
245,Jeremy Lamb,203087,2252
246,Jeremy Lin,202391,1440
247,Jerian Grant,1626170,938
248,Jerome Robinson,1629010,320
249,Jerryd Bayless,201573,658
250,Jevon Carter,1628975,575
251,Jimmer Fredette,202690,64
252,Jimmy Butler,202710,2185
253,Joakim Noah,201149,695
254,Jodie Meeks,201975,104
255,Joe Chealey,1629147,8
256,Joe Harris,203925,2296
257,Joe Ingles,204060,2566
258,Joel Embiid,203954,2157
259,John Collins,1628381,1828
260,John Henson,203089,188
261,John Holland,204066,1
262,John Jenkins,203098,332
263,John Wall,202322,1103
264,Johnathan Motley,1628405,153
265,Johnathan Williams,1629140,371
266,Jon Leuer,202720,404
267,Jonah Bolden,1628413,641
268,Jonas Jerebko,201973,1221
269,Jonas Valanciunas,202685,1091
270,Jonathan Isaac,1628371,1996
271,Jonathon Simmons,203613,1066
272,Jordan Bell,1628395,791
273,Jordan Clarkson,203903,2217
274,Jordan Loyd,1628070,53
275,Jordan McRae,203895,331
276,Jordan Sibert,1626296,4
277,Jose Calderon,101181,635
278,Josh Hart,1628404,1714
279,Josh Jackson,1628367,1990
280,Josh Okogie,1629006,1761
281,Josh Richardson,1626196,2543
282,Jrue Holiday,201950,2403
283,Juancho Hernangomez,1627823,1359
284,Julian Washburn,1627395,252
285,Julius Randle,203944,2233
286,Justin Anderson,1626147,461
287,Justin Holiday,203200,2608
288,Justin Jackson,1628382,1616
289,Justin Patton,1628383,20
290,Justise Winslow,1626159,1964
291,Jusuf Nurkic,203994,1975
292,Kadeem Allen,1628443,414
293,Kalin Lucas,203564,6
294,Karl-Anthony Towns,1626157,2545
295,Kawhi Leonard,202695,2039
296,Keita Bates-Diop,1628966,503
297,Kelly Olynyk,203482,1812
298,Kelly Oubre Jr.,1626162,1933
299,Kemba Walker,202689,2867
300,Kenneth Faried,202702,726
301,Kenrich Williams,1629026,1083
302,Kent Bazemore,203145,1641
303,Kentavious Caldwell-Pope,203484,2032
304,Kevin Durant,201142,2703
305,Kevin Huerter,1628989,2042
306,Kevin Knox II,1628995,2158
307,Kevin Love,201567,598
308,Kevon Looney,1626172,1477
309,Khem Birch,203920,644
310,Khris Middleton,203114,2398
311,Khyri Thomas,1629017,196
312,Klay Thompson,202691,2655
313,Kobi Simmons,1628424,2
314,Kosta Koufos,201585,502
315,Kostas Antetokounmpo,1628961,11
316,Kris Dunn,1627739,1390
317,Kyle Anderson,203937,1281
318,Kyle Korver,2594,1333
319,Kyle Kuzma,1628398,2312
320,Kyle Lowry,200768,2211
321,Kyle O'Quinn,203124,370
322,Kyrie Irving,202681,2219
323,LaMarcus Aldridge,200746,2689
324,Lance Stephenson,202362,1120
325,Lance Thomas,202498,784
326,Landry Shamet,1629013,1802
327,Langston Galloway,204038,1753
328,Larry Nance Jr.,1626204,1793
329,Lauri Markkanen,1628374,1683
330,LeBron James,2544,1936
331,Lonnie Walker IV,1629022,118
332,Lonzo Ball,1628366,1422
333,Lorenzo Brown,203485,212
334,Lou Williams,101150,1992
335,Luc Mbah a Moute,201601,61
336,Luka Doncic,1629029,2322
337,Luke Kennard,1628379,1439
338,Luke Kornet,1628436,783
339,Luol Deng,2736,395
340,Malachi Richardson,1627781,103
341,Malcolm Brogdon,1627763,1837
342,Malcolm Miller,1626259,68
343,Malik Beasley,1627736,1878
344,Malik Monk,1628370,1259
345,MarShon Brooks,202705,389
346,Marc Gasol,201188,2440
347,Marcin Gortat,101162,751
348,Marco Belinelli,201158,1818
349,Marcus Derrickson,1629094,68
350,Marcus Morris Sr.,202694,2087
351,Marcus Smart,203935,2197
352,Mario Hezonja,1626209,1210
353,Markelle Fultz,1628365,426
354,Markieff Morris,202693,1271
355,Marquese Chriss,1627737,499
356,Marvin Bagley III,1628963,1565
357,Marvin Williams,101107,2133
358,Mason Plumlee,203486,1735
359,Matthew Dellavedova,203521,815
360,Maurice Harkless,203090,1416
361,Maxi Kleber,1628467,1505
362,Melvin Frazier Jr.,1628982,44
363,Meyers Leonard,203086,879
364,Michael Beasley,201563,279
365,Michael Carter-Williams,203487,372
366,Michael Kidd-Gilchrist,203077,1179
367,Mikal Bridges,1628969,2419
368,Mike Conley,201144,2340
369,Mike Muscala,203488,1304
370,Mike Scott,203118,1394
371,Miles Bridges,1628970,1696
372,Miles Plumlee,203101,172
373,Milos Teodosic,1628462,151
374,Mitchell Creek,1628249,48
375,Mitchell Robinson,1629011,1361
376,Mo Bamba,1628964,766
377,Monte Morris,1628420,1970
378,Montrezl Harrell,1626149,2160
379,Moritz Wagner,1629021,447
380,Myles Turner,1626167,2119
381,Naz Mitrou-Long,1628513,87
382,Nemanja Bjelica,202357,1793
383,Nene,2403,544
384,Nerlens Noel,203457,1058
385,Nick Young,201156,38
386,Nicolas Batum,201587,2357
387,Nik Stauskas,203917,1014
388,Nikola Jokic,203999,2506
389,Nikola Mirotic,202703,1245
390,Nikola Vucevic,202696,2512
391,Noah Vonleh,203943,1721
392,Norman Powell,1626181,1128
393,OG Anunoby,1628384,1358
394,Okaro White,1627855,6
395,Omari Spellman,1629016,805
396,Omri Casspi,201956,523
397,Otto Porter Jr.,203490,1687
398,P.J. Tucker,200782,2803
399,PJ Dozier,1628408,50
400,Pascal Siakam,1627783,2549
401,Pat Connaughton,1626192,1258
402,Patrick Beverley,201976,2140
403,Patrick McCaw,1627775,398
404,Patrick Patterson,202335,860
405,Patty Mills,201988,1909
406,Pau Gasol,2200,359
407,Paul George,202331,2844
408,Paul Millsap,200794,1892
409,Quincy Acy,203112,121
410,Quincy Pondexter,202347,286
411,Quinn Cook,1626188,1063
412,RJ Hunter,1626154,26
413,Rajon Rondo,200765,1368
414,Raul Neto,203526,472
415,Rawle Alkins,1628959,121
416,Ray Spalding,1629034,148
417,Raymond Felton,101109,381
418,Reggie Bullock,203493,1879
419,Reggie Jackson,202704,2287
420,Richaun Holmes,1626158,1184
421,Ricky Rubio,201937,1904
422,Robert Covington,203496,1201
423,Robert Williams III,1629057,281
424,Robin Lopez,201577,1608
425,Rodions Kurucs,1629066,1293
426,Rodney Hood,203918,1895
427,Rodney McGruder,203585,1551
428,Ron Baker,1627758,150
429,Rondae Hollis-Jefferson,1626178,1235
430,Royce O'Neale,1626220,1676
431,Rudy Gay,200752,1841
432,Rudy Gobert,203497,2579
433,Russell Westbrook,201566,2634
434,Ryan Anderson,201583,321
435,Ryan Arcidiacono,1627853,1961
436,Ryan Broekhoff,1629151,456
437,Salah Mejri,1626257,401
438,Sam Dekker,1626155,788
439,Scott Machado,203159,19
440,Semi Ojeleye,1628400,597
441,Serge Ibaka,201586,2006
442,Seth Curry,203552,1402
443,Shabazz Napier,203894,978
444,Shai Gilgeous-Alexander,1628983,2175
445,Shake Milton,1629003,268
446,Shaquille Harrison,1627885,1431
447,Shaun Livingston,2733,965
448,Shelvin Mack,202714,1248
449,Sindarius Thornwell,1628414,318
450,Skal Labissiere,1627746,177
451,Solomon Hill,203524,875
452,Spencer Dinwiddie,203915,1914
453,Stanley Johnson,1626169,1209
454,Stephen Curry,201939,2328
455,Sterling Brown,1628425,1033
456,Steven Adams,203500,2668
457,Svi Mykhailiuk,1629004,443
458,T.J. Leaf,1628388,522
459,T.J. McConnell,204456,1467
460,T.J. Warren,203933,1361
461,Tahjere McCall,1628769,8
462,Taj Gibson,201959,1686
463,Taurean Prince,1627752,1553
464,Terrance Ferguson,1628390,1935
465,Terrence Jones,203093,5
466,Terrence Ross,203082,2151
467,Terry Rozier,1626179,1792
468,Thabo Sefolosha,200757,612
469,Thaddeus Young,201152,2489
470,Theo Pinson,1629033,210
471,Thomas Bryant,1628418,1496
472,Thomas Welsh,1629118,37
473,Thon Maker,1627748,971
474,Tim Frazier,204025,1119
475,Tim Hardaway Jr.,203501,2057
476,Timothe Luwawu-Cabarrot,1627789,669
477,Tobias Harris,202699,2849
478,Tomas Satoransky,203107,2163
479,Tony Bradley,1628396,36
480,Tony Parker,2225,1000
481,Tony Snell,203503,1304
482,Torrey Craig,1628470,1503
483,Trae Young,1629027,2503
484,Treveon Graham,1626203,718
485,Trevon Duval,1628979,5
486,Trevor Ariza,2772,2349
487,Trey Burke,203504,1127
488,Trey Lyles,1626168,1118
489,Tristan Thompson,202684,1194
490,Troy Brown Jr.,1628972,728
491,Troy Caupain,1628505,15
492,Troy Daniels,203584,760
493,Troy Williams,1627786,315
494,Tyler Cavanaugh,1628463,42
495,Tyler Davis,1629093,1
496,Tyler Dorsey,1628416,699
497,Tyler Johnson,204020,1534
498,Tyler Lydon,1628399,95
499,Tyler Ulis,1627755,1
500,Tyler Zeller,203092,93
501,Tyreke Evans,201936,1402
502,Tyrone Wallace,1627820,627
503,Tyson Chandler,2199,876
504,Tyus Jones,1626145,1558
505,Udonis Haslem,2617,76
506,Victor Oladipo,203506,1151
507,Vince Carter,1713,1326
508,Vincent Edwards,1629053,16
509,Wade Baldwin IV,1627735,95
510,Walt Lemon Jr.,1627215,167
511,Wayne Ellington,201961,1296
512,Wayne Selden,1627782,1436
513,Wendell Carter Jr.,1628976,1112
514,Wes Iwundu,1628411,1230
515,Wesley Johnson,202325,538
516,Wesley Matthews,202083,2090
517,Will Barton,203115,1189
518,Willie Cauley-Stein,1626161,2216
519,Willy Hernangomez,1626195,812
520,Wilson Chandler,201163,1177
521,Yante Maten,1628999,13
522,Yogi Ferrell,1627812,1072
523,Yuta Watanabe,1629139,176
524,Zach Collins,1628380,1353
525,Zach LaVine,203897,2170
526,Zach Lofton,1629155,4
527,Zaza Pachulia,2585,879
528,Zhaire Smith,1629015,112
529,Zhou Qi,1627753,1
